Center,Family,Orient,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,T,C,nu,k
L4,SPO,None,0.975486180935858,0.864486185539845,0,0.157510919091046,-0.771292676544169,0,6.39806158712099,2.61256283178793,1,1.97217629379995
L4,SPO,None,0.972820171363732,0.863319719714616,0,0.158861941290255,-0.751669959654876,0,6.40600256819213,2.6380350977348,1,1.96989711486456
L4,SPO,None,0.969466879051037,0.8621170826359,0,0.159924401283527,-0.73212990479711,0,6.41384195510821,2.66196503674098,1,1.96760683570359
L4,SPO,None,0.965489309779352,0.860880628624769,0,0.160699368073342,-0.712683885657906,0,6.42156253734171,2.68443839731031,1,1.96531481760251
L4,SPO,None,0.960913971188599,0.859726823186993,0,0.161331392847268,-0.693353092719877,0,6.42915576224812,2.7055484645693,1,1.96302691263341
L4,SPO,None,0.955792286374322,0.858636782161483,0,0.161791618020871,-0.674140816523711,0,6.43660919813839,2.72537190008219,1,1.960750149971
L4,SPO,None,0.950158454635278,0.857636495728018,0,0.162107912682715,-0.655052981707592,0,6.44391352832129,2.74398633578327,1,1.95849041702112
L4,SPO,None,0.944041093561541,0.85675181375421,0,0.162307186747946,-0.636094503400533,0,6.4510604329871,2.76146453955992,1,1.95625309490721
L4,SPO,None,0.937464728475776,0.856006826979237,0,0.162413464185113,-0.617270307048025,0,6.45804207815585,2.77787365578912,1,1.95404323292845
L4,SPO,None,0.930450273711663,0.855425291656224,0,0.162449804589099,-0.598586129843928,0,6.46485092747732,2.79327539031706,1,1.9518656299411
L4,SPO,None,0.923015724009714,0.855031225193779,0,0.162439187248894,-0.580049383511646,0,6.47147949435161,2.80772606256275,1,1.94972493577182
L4,SPO,None,0.9151779690264,0.854845993074744,0,0.162401284190881,-0.561669755028896,0,6.47792001435565,2.82127651371757,1,1.94762578027106
L4,SPO,None,0.906958744285215,0.854871167262786,0,0.162332779332816,-0.543456927253458,0,6.48416441085696,2.83397264398454,1,1.94557280789713
L4,SPO,None,0.898385023966858,0.855086138653286,0,0.162205594328041,-0.525416974553697,0,6.49020567709888,2.84585860372478,1,1.9435702376838
L4,SPO,None,0.889475268274453,0.855495226174274,0,0.162022269874376,-0.507560011199713,0,6.49603787151555,2.85697680687645,1,1.94162186379674
L4,SPO,None,0.880243553757176,0.856118431718318,0,0.161804640737759,-0.489902477016231,0,6.50165475291078,2.86736548776869,1,1.93973151525837
L4,SPO,None,0.87070632878681,0.856970568334336,0,0.16156979424438,-0.472463890535087,0,6.50704991507192,2.87705933982005,1,1.93790302363479
L4,SPO,None,0.860871997704482,0.858125088397891,0,0.161405482447602,-0.45529483225813,0,6.51221047703659,2.88608039624222,1,1.93614248086909
L4,SPO,None,0.850787221866039,0.859436231741146,0,0.16114433322647,-0.438352077450751,0,6.51714696772291,2.89448260046382,1,1.93444757469082
L4,SPO,None,0.843605430381642,0.855703485055771,0,0.155196417694936,-0.423074839880687,0,6.52129871381053,2.90138326242587,1,1.93301393755129
L4,SPO,None,0.833123892411096,0.857465666816269,0,0.154980119358947,-0.406677868067664,0,6.52580094589526,2.9087041541604,1,1.93145139107321
L4,SPO,None,0.828617476636918,0.864429637475686,0,0.162342112093095,-0.404440201751267,0,6.52658602101483,2.90996212616422,1,1.93117792413336
L4,SPO,None,0.817908302579123,0.866688293765986,0,0.162398260956545,-0.388691448618596,0,6.53072455055814,2.91651449099313,1,1.92973242450118
L4,SPO,None,0.807020641849864,0.868888711669778,0,0.162132866002646,-0.373055380469858,0,6.53467866748054,2.92264550088898,1,1.92834452063486
