# Time(s), X(km), Y(km), Z(km), VX(km/s), VY(km/s), VZ(km/s)
    66000.000000,-369489.563175339135,  91621.394842968919,  48804.761801165274,     -0.631621989400,     -0.632493826622,     -0.374790125877
    69000.000000,-371371.193835275713,  89724.138388593885,  47680.074348213137,     -0.622801028944,     -0.632332325886,     -0.374995208622
    72000.000000,-373226.384500631306,  87827.469500316874,  46554.828150346977,     -0.613995218473,     -0.632102211510,     -0.375162689946
    75000.000000,-375055.179625807796,  85931.593173045156,  45429.135412284893,     -0.605203886041,     -0.631804042655,     -0.375292967019
    78000.000000,-376857.621574949357,  84036.712767697623,  44303.107169910436,     -0.596426310009,     -0.631438349531,     -0.375386421916
    81000.000000,-378633.750472085492,  82143.030097642055,  43176.853335356958,     -0.587661718507,     -0.631005633677,     -0.375443421751
    84000.000000,-380383.604049479356,  80250.745514264490,  42050.482741677486,     -0.578909288773,     -0.630506368260,     -0.375464318822
    87000.000000,-382107.217493799806,  78360.057991605907,  40924.103187070883,     -0.570168146364,     -0.629940998398,     -0.375449450761
    90000.000000,-383804.623289724870,  76471.165209992512,  39797.821478632723,     -0.561437364230,     -0.629309941510,     -0.375399140699
    93000.000000,-385475.851060570334,  74584.263638577017,  38671.743475596399,     -0.552715961658,     -0.628613587693,     -0.375313697444
    96000.000000,-387120.927405525930,  72699.548616697095,  37545.974132026604,     -0.544002903065,     -0.627852300131,     -0.375193415666
    99000.000000,-388739.875733066234,  70817.214433945512,  36420.617538923623,     -0.535297096653,     -0.627026415548,     -0.375038576106
   102000.000000,-390332.716090089118,  68937.454408832913,  35295.776965691861,     -0.526597392906,     -0.626136244694,     -0.374849445793
   105000.000000,-391899.464986317791,  67060.460965909471,  34171.554900921030,     -0.517902582934,     -0.625182072885,     -0.374626278282
   108000.000000,-393440.135213484638,  65186.425711194213,  33048.053092422168,     -0.509211396648,     -0.624164160597,     -0.374369313916
   111000.000000,-394954.735658796679,  63315.539505742694,  31925.372586453566,     -0.500522500774,     -0.623082744111,     -0.374078780102
   114000.000000,-396443.271112161747,  61447.992537161357,  30803.613766063827,     -0.491834496677,     -0.621938036236,     -0.373754891626
   117000.000000,-397905.742066631152,  59583.974388853654,  29682.876388470333,     -0.483145918012,     -0.620730227106,     -0.373397850982
   120000.000000,-399342.144511495251,  57723.674106755469,  28563.259621381203,     -0.474455228176,     -0.619459485053,     -0.373007848746
   123000.000000,-400752.469717439788,  55867.280263287212,  27444.862078157712,     -0.465760817561,     -0.618125957592,     -0.372585063978
   126000.000000,-402136.704013149953,  54014.981018216262,  26327.781851701591,     -0.457061000597,     -0.616729772501,     -0.372129664669
   129000.000000,-403494.828552719671,  52166.964176085712,  25212.116546937570,     -0.448354012579,     -0.615271039031,     -0.371641808232
   132000.000000,-404826.819073200924,  50323.417239823648,  24097.963311746007,     -0.439638006265,     -0.613749849244,     -0.371121642045
   135000.000000,-406132.645641596057,  48484.527460100981,  22985.418866183150,     -0.430911048237,     -0.612166279511,     -0.370569304051
   138000.000000,-407412.272390572238,  46650.481879954794,  21874.579529807197,     -0.422171115021,     -0.610520392176,     -0.369984923422
   141000.000000,-408665.657242146786,  44821.467374137319,  20765.541246906792,     -0.413416088946,     -0.608812237411,     -0.369368621295
   144000.000000,-409892.751618562499,  42997.670682588228,  19658.399609404860,     -0.404643753744,     -0.607041855284,     -0.368720511587
   147000.000000,-411093.500139545649,  41179.278437358320,  18553.249877183964,     -0.395851789870,     -0.605209278057,     -0.368040701900
   150000.000000,-412267.840305107879,  39366.477182236078,  17450.186995549957,     -0.387037769541,     -0.603314532760,     -0.367329294526
