x,y,z,vx,vy,vz
  6.00486236230629E+05,  1.40282986762838E+06,  2.43272792852374E+05,  4.73166406494830E-01,  1.33768601122564E+00,  2.10459635711991E-01
  6.01391417869807E+05,  1.40377249295115E+06,  2.44257678323251E+05,  4.74324675430835E-01,  1.33903723733281E+00,  2.11531572195552E-01
  6.02144912924386E+05,  1.40366174593336E+06,  2.43459316214725E+05,  4.75138214212805E-01,  1.33895383369274E+00,  2.10724360327437E-01
  6.01571351327069E+05,  1.40452906860061E+06,  2.42462561134571E+05,  4.74578569639003E-01,  1.33993382097880E+00,  2.09731431074713E-01
  6.02136746284548E+05,  1.40492332089515E+06,  2.41829248983399E+05,  4.75249535520965E-01,  1.34047509239275E+00,  2.09111385795622E-01
  6.01089361875572E+05,  1.40273573151884E+06,  2.42162382929573E+05,  4.73807657106231E-01,  1.33759083472032E+00,  2.09332006440958E-01
  6.02322662307469E+05,  1.40349374024504E+06,  2.42931742786470E+05,  4.75303723161785E-01,  1.33874139143382E+00,  2.10182804600211E-01
  6.00200258613210E+05,  1.40265872722015E+06,  2.43102832069254E+05,  4.72816395037904E-01,  1.33742718163379E+00,  2.10270818746541E-01
  6.00907642745161E+05,  1.40460094160783E+06,  2.43277495441960E+05,  4.73856505775113E-01,  1.33998093200501E+00,  2.10557830604636E-01
  6.01288225908141E+05,  1.40422110358841E+06,  2.43264774278349E+05,  4.74237870582384E-01,  1.33954728466004E+00,  2.10534066435542E-01
  6.02910402414934E+05,  1.40243801943841E+06,  2.43817763418981E+05,  4.75856411377763E-01,  1.33751688464635E+00,  2.11057534227936E-01
  6.00562981797339E+05,  1.40229822498862E+06,  2.41915766319739E+05,  4.73151944236639E-01,  1.33696360491859E+00,  2.09044196290799E-01
  6.03190786822814E+05,  1.40435625719420E+06,  2.42946384594884E+05,  4.76392205564749E-01,  1.33993728741081E+00,  2.10256639998017E-01
  6.00088988535344E+05,  1.40329829277174E+06,  2.43095861706801E+05,  4.72770323906353E-01,  1.33822351316035E+00,  2.10289192799675E-01
  6.01789965323911E+05,  1.40274481239184E+06,  2.43039330819882E+05,  4.74615649706803E-01,  1.33773019671771E+00,  2.10248250404937E-01
  6.03544100331975E+05,  1.40473722187350E+06,  2.43521751984836E+05,  4.76847157483323E-01,  1.34049031101672E+00,  2.10874248842410E-01
